run_number,model_name,metric,class,value
2,Base distil-mBERT,f1-score,positive,0.7166
2,Fine-tuned distil-mBERT,f1-score,positive,0.7583
2,Base RuBERT,f1-score,positive,0.6724
2,Fine-tuned RuBERT,f1-score,positive,0.7674
2,Base mBERT,f1-score,positive,0.6822
2,Fine-tuned mBERT,f1-score,positive,0.6975
2,Base distil-mBERT,f1-score,macro avg,0.7735
2,Fine-tuned distil-mBERT,f1-score,macro avg,0.8055
2,Base RuBERT,f1-score,macro avg,0.711
2,Fine-tuned RuBERT,f1-score,macro avg,0.8098
2,Base mBERT,f1-score,macro avg,0.7518
2,Fine-tuned mBERT,f1-score,macro avg,0.7679
2,Base distil-mBERT,f1-score,weighted avg,0.8119
2,Fine-tuned distil-mBERT,f1-score,weighted avg,0.8367
2,Base RuBERT,f1-score,weighted avg,0.7683
2,Fine-tuned RuBERT,f1-score,weighted avg,0.8343
2,Base mBERT,f1-score,weighted avg,0.8027
2,Fine-tuned mBERT,f1-score,weighted avg,0.8078
2,Base distil-mBERT,accuracy,,0.8087
2,Fine-tuned distil-mBERT,accuracy,,0.8333
2,Base RuBERT,accuracy,,0.7596
2,Fine-tuned RuBERT,accuracy,,0.8324
2,Base mBERT,accuracy,,0.7978
2,Fine-tuned mBERT,accuracy,,0.8033
3,Base distil-mBERT,precision,negative,0.6441
3,Fine-tuned distil-mBERT,precision,negative,0.6408
3,Base RuBERT,precision,negative,0.4767
3,Fine-tuned RuBERT,precision,negative,0.6537
3,Base mBERT,precision,negative,0.5915
3,Fine-tuned mBERT,precision,negative,0.6314
3,Base distil-mBERT,precision,neutral,0.9339
3,Fine-tuned distil-mBERT,precision,neutral,0.9405
3,Base RuBERT,precision,neutral,0.9037
3,Fine-tuned RuBERT,precision,neutral,0.9519
3,Base mBERT,precision,neutral,0.9347
3,Fine-tuned mBERT,precision,neutral,0.9396
3,Base distil-mBERT,precision,positive,0.8016
3,Fine-tuned distil-mBERT,precision,positive,0.8108
3,Base RuBERT,precision,positive,0.5891
3,Fine-tuned RuBERT,precision,positive,0.7891
3,Base mBERT,precision,positive,0.711
3,Fine-tuned mBERT,precision,positive,0.8347
3,Base distil-mBERT,precision,macro avg,0.7932
3,Fine-tuned distil-mBERT,precision,macro avg,0.7974
3,Base RuBERT,precision,macro avg,0.6565
3,Fine-tuned RuBERT,precision,macro avg,0.7982
3,Base mBERT,precision,macro avg,0.7457
3,Fine-tuned mBERT,precision,macro avg,0.8019
3,Base distil-mBERT,precision,weighted avg,0.8464
3,Fine-tuned distil-mBERT,precision,weighted avg,0.852
3,Base RuBERT,precision,weighted avg,0.7433
3,Fine-tuned RuBERT,precision,weighted avg,0.8548
3,Base mBERT,precision,weighted avg,0.8134
3,Fine-tuned mBERT,precision,weighted avg,0.856
3,Base distil-mBERT,recall,negative,0.9095
3,Fine-tuned distil-mBERT,recall,negative,0.9146
3,Base RuBERT,recall,negative,0.6683
3,Fine-tuned RuBERT,recall,negative,0.9296
3,Base mBERT,recall,negative,0.8442
3,Fine-tuned mBERT,recall,negative,0.9296
3,Base distil-mBERT,recall,neutral,0.8588
3,Fine-tuned distil-mBERT,recall,neutral,0.8571
3,Base RuBERT,recall,neutral,0.8325
3,Fine-tuned RuBERT,recall,neutral,0.844
3,Base mBERT,recall,neutral,0.8456
3,Fine-tuned mBERT,recall,neutral,0.8686
3,Base distil-mBERT,recall,positive,0.7103
3,Fine-tuned distil-mBERT,recall,positive,0.7241
3,Base RuBERT,recall,positive,0.5241
